Wall time,Step,Value
1577364597.9185386,0,0.0
1577364875.0403218,5,0.6298539638519287
1577365166.4599173,10,0.08785022050142288
1577365477.4749894,15,0.14164866507053375
1577365755.4657867,20,0.1738203465938568
1577366062.5820532,25,0.06999453902244568
1577366346.8974588,30,0.08123579621315002
1577366629.804343,35,0.06917960941791534
1577366961.113383,40,0.060109902173280716
1577367279.2934508,45,0.42831653356552124
1577367590.268639,50,0.09351051598787308
1577367887.1968575,55,0.22938892245292664
1577368153.385022,60,0.2092156708240509
1577368499.5934887,65,0.5203359127044678
1577368822.4253821,70,0.5099395513534546
1577369210.8600295,75,0.5836535692214966
1577369587.8111997,80,0.3051876723766327
1577370018.1027248,85,0.4869779348373413
1577370444.8506017,90,0.8016855120658875
1577370865.3598511,95,0.5862546563148499
1577371343.2095642,100,0.490080326795578
1577371879.2421029,105,1.2322423458099365
1577372525.5557,110,1.5053225755691528
1577373141.9451308,115,1.506730318069458
1577373836.1302514,120,1.697836995124817
1577374599.7774742,125,0.8305816650390625
1577375342.056926,130,1.174286127090454
1577376103.2697113,135,2.143231153488159
1577377038.7120378,140,1.1715021133422852
1577377769.9286368,145,2.564912796020508
1577378579.046606,150,1.4499413967132568
1577379363.134235,155,1.1495146751403809
1577380282.5672202,160,1.7089585065841675
1577381246.0872371,165,1.2332286834716797
1577382143.8700316,170,1.5701425075531006
1577383142.3298373,175,1.940966248512268
1577383877.0989158,180,1.4662439823150635
1577384800.8813415,185,1.3945190906524658
1577386052.3012784,190,1.9880833625793457
1577387898.3037963,195,2.908120632171631
1577389584.7568636,200,1.4364758729934692
1577391015.3249645,205,3.0754261016845703
1577391841.770303,210,2.5713958740234375
1577392137.4241736,215,1.426073670387268
1577392497.6375968,220,0.9824838042259216
1577392701.591532,225,0.7219077944755554
1577393319.0901053,230,1.9787232875823975
1577393759.4109159,235,1.7638671398162842
1577394506.4592743,240,2.0997719764709473
1577395027.3802757,245,0.4719388484954834
1577395246.6692035,250,0.2810833156108856
1577395460.9787576,255,0.4952678680419922
1577395646.9783292,260,0.914426863193512
1577395967.1415765,265,0.5223112106323242
1577396167.2687483,270,0.6831055879592896
1577396330.9503553,275,0.9284285306930542
1577396478.3068082,280,0.46338096261024475
1577396678.3472414,285,0.09404615312814713
1577396867.8498762,290,0.48275265097618103
1577397050.308794,295,0.5529305934906006
1577397183.0533617,300,1.3626190423965454
1577397375.9467912,305,1.3402116298675537
1577397569.9913778,310,0.9855391979217529
1577397708.075337,315,0.4664110541343689
1577397921.7070754,320,1.3444836139678955
1577398069.4824336,325,0.9775136709213257
1577398257.665204,330,0.521134078502655
1577398462.245194,335,1.380065679550171
1577398592.3778596,340,0.45380276441574097
1577398753.8452067,345,0.5507692098617554
1577398885.8313124,350,0.6573675274848938
1577399020.565402,355,0.44440484046936035
1577399352.1759107,360,0.6776461601257324
1577399498.0725286,365,0.45506173372268677
1577399657.3732555,370,1.1341657638549805
1577399795.612134,375,0.9000458717346191
1577399977.30252,380,0.29195407032966614
1577400112.117494,385,0.5537685751914978
1577400250.6675403,390,0.7060699462890625
1577400406.509332,395,0.46881309151649475
1577400515.1001608,400,0.19700847566127777
1577400619.9997973,405,0.5197747349739075
1577400792.5461144,410,0.8006948828697205
1577400910.5327432,415,0.5418112277984619
1577401063.4695954,420,0.285706490278244
1577401174.5340571,425,0.11014141142368317
1577401312.692755,430,0.727232813835144
1577401409.8947792,435,0.5898570418357849
1577401509.8190966,440,0.5740518569946289
1577401614.6255968,445,0.2240830361843109
1577401725.7635934,450,0.33350712060928345
1577401833.4996462,455,0.4034401476383209
1577401939.2511086,460,0.2861088514328003
1577402044.492296,465,0.5278215408325195
1577402172.585501,470,1.243790864944458
1577402269.1248002,475,0.7158236503601074
1577402369.8782146,480,0.5348671674728394
1577402471.6696033,485,0.7322642207145691
1577402566.425427,490,0.4756932854652405
1577402668.4020977,495,0.6791980266571045
1577402757.8673968,500,0.6392095685005188
1577402852.46535,505,0.4409536123275757
1577402951.7775028,510,0.2781546115875244
1577403051.328235,515,0.2712363004684448
1577403150.2937956,520,0.36218106746673584
1577403251.7375438,525,0.43073976039886475
1577403338.5809507,530,0.2420395463705063
1577403427.8922048,535,0.1722731739282608
1577403534.076694,540,0.3252115547657013
1577403635.2479334,545,0.2760546803474426
1577403730.401838,550,0.2943054437637329
1577403824.430134,555,0.29354652762413025
1577403897.5870528,560,0.36372557282447815
1577403997.4159582,565,0.45294684171676636
1577404074.9092586,570,0.1653464436531067
1577404145.7183979,575,0.1394495964050293
1577404237.2052698,580,0.280330628156662
1577404329.6934998,585,0.3169969320297241
1577404439.756462,590,0.5153403282165527
1577404537.9499211,595,0.23544451594352722
1577404641.0937963,600,0.46611905097961426
1577404737.0295596,605,0.6232916712760925
1577404831.9983506,610,0.4211008846759796
1577404928.759685,615,0.20487330853939056
1577405022.2816303,620,0.4853418469429016
1577405110.6389112,625,0.1622857004404068
